line_index,Player,gender
809,ROMEO,Male
810,ROMEO,Male
811,ROMEO,Male
812,ROMEO,Male
813,ROMEO,Male
814,ROMEO,Male
815,ROMEO,Male
816,ROMEO,Male
817,ROMEO,Male
818,ROMEO,Male
819,ROMEO,Male
820,ROMEO,Male
821,ROMEO,Male
822,ROMEO,Male
823,ROMEO,Male
824,ROMEO,Male
825,JULIET,Female
826,ROMEO,Male
827,ROMEO,Male
828,ROMEO,Male
829,ROMEO,Male
830,ROMEO,Male
831,ROMEO,Male
832,ROMEO,Male
833,ROMEO,Male
834,JULIET,Female
835,JULIET,Female
836,JULIET,Female
837,JULIET,Female
838,ROMEO,Male
839,JULIET,Female
840,JULIET,Female
841,JULIET,Female
842,JULIET,Female
843,JULIET,Female
844,JULIET,Female
845,JULIET,Female
846,JULIET,Female
847,JULIET,Female
848,JULIET,Female
849,JULIET,Female
850,JULIET,Female
851,ROMEO,Male
852,ROMEO,Male
853,ROMEO,Male
854,JULIET,Female
855,JULIET,Female
856,ROMEO,Male
857,ROMEO,Male
858,ROMEO,Male
859,ROMEO,Male
860,ROMEO,Male
861,JULIET,Female
862,JULIET,Female
863,JULIET,Female
864,ROMEO,Male
865,JULIET,Female
866,JULIET,Female
867,JULIET,Female
868,JULIET,Female
869,ROMEO,Male
870,ROMEO,Male
871,ROMEO,Male
872,ROMEO,Male
873,JULIET,Female
874,ROMEO,Male
875,ROMEO,Male
876,ROMEO,Male
877,JULIET,Female
878,ROMEO,Male
879,ROMEO,Male
880,ROMEO,Male
881,ROMEO,Male
882,JULIET,Female
883,ROMEO,Male
884,ROMEO,Male
885,ROMEO,Male
886,ROMEO,Male
887,ROMEO,Male
888,JULIET,Female
889,JULIET,Female
890,JULIET,Female
891,JULIET,Female
892,JULIET,Female
893,JULIET,Female
894,JULIET,Female
895,JULIET,Female
896,JULIET,Female
897,JULIET,Female
898,JULIET,Female
899,JULIET,Female
900,JULIET,Female
901,JULIET,Female
902,JULIET,Female
903,JULIET,Female
904,JULIET,Female
905,JULIET,Female
906,JULIET,Female
907,JULIET,Female
908,JULIET,Female
909,JULIET,Female
910,ROMEO,Male
911,ROMEO,Male
912,JULIET,Female
913,JULIET,Female
914,JULIET,Female
915,ROMEO,Male
916,JULIET,Female
917,JULIET,Female
918,JULIET,Female
919,JULIET,Female
920,ROMEO,Male
921,JULIET,Female
922,JULIET,Female
923,JULIET,Female
924,JULIET,Female
925,JULIET,Female
926,JULIET,Female
927,JULIET,Female
928,JULIET,Female
929,JULIET,Female
930,ROMEO,Male
931,JULIET,Female
932,ROMEO,Male
933,JULIET,Female
934,JULIET,Female
